movie_id	genre
5306	Action
5306	Adventure
5306	Drama
5306	Sci-Fi
5306	Thriller
10920	Action
10920	Horror
10920	Sci-Fi
10920	Thriller
10934	Documentary
105938	Documentary
127297	Documentary
127297	Family
127297	Short
256530	Horror
256530	Romance
256530	Sci-Fi
322652	Action
322652	Sci-Fi
322652	Short
328277	Action
328277	Drama
328277	Sci-Fi
328277	Thriller
328285	Action
328285	Sci-Fi
328285	Thriller
333856	Drama
333856	Romance
340799	Action
340799	Adventure
340799	Comedy
340799	Romance
340799	Thriller
369522	Fantasy
369522	Short
1711	Adventure
1711	Sci-Fi
30431	Drama
30431	Romance
30431	War
65764	Crime
65764	Drama
65764	Music
65764	Sci-Fi
79846	Documentary
79846	Short
92616	Comedy
92616	Sci-Fi
92616	War
106666	Drama
106666	Mystery
106666	Thriller
110246	Drama
110246	War
116239	Documentary
116239	Short
121538	Drama
121538	War
176891	Crime
176891	Drama
176891	Film-Noir
177019	Crime
177019	Drama
177019	Film-Noir
177019	Thriller
193519	Comedy
193519	Drama
193519	Romance
250612	Drama
250612	War
291833	Documentary
291833	Short
299073	Horror
299073	Thriller
310455	Action
310455	Drama
310455	Romance
310455	War
118367	Comedy
118367	Drama
159665	Action
159665	Drama
159665	War
164572	Crime
164572	Drama
164572	Thriller
176711	Action
176711	Crime
176711	Thriller
176712	Action
176712	Drama
176712	Romance
176712	Thriller
223710	Comedy
223710	Drama
267038	Crime
267038	Drama
276217	Action
276217	Crime
276217	Mystery
276217	Thriller
