actor_id	movie_id	role
10963	5306	Truck Driver
32638	5306	Barnes
33949	5306	Jammer Willis
42278	5306	Lt. Hiram Coffey
57051	5306	Lew Finler
64610	5306	Catfish De Vries
69977	5306	Sailor with the fire extingui
70419	5306	DeMarco
81503	5306	Dr. Berg
108530	5306	USS Montana Crewman
130508	5306	Construction Worker
138073	5306	Bendix
145064	5306	Anchorman
181264	5306	Alan 'Hippy' Carnes
197929	5306	Virgil 'Bud' Brigman
223068	5306	Wave Reporter
228850	5306	Gerard Kirkhill, Benthick Pet
250810	5306	Wilhite
281620	5306	USS Montana Navigator
334067	5306	Anchorman #2
335612	5306	Schoenick, SEAL Team Member
341916	5306	Ensign Monk, SEAL Team Member
342314	5306	USS Montana Crewman
386373	5306	Arliss 'Sonny' Dawson
391009	5306	USS Montana Captain
459752	5306	USS Montana Executive Officer
502273	5306	Dwight Perry
504906	5306	Leland McBride
514734	5306	Bill Tyler, Reporter
589318	5306	Young Woman
636502	5306	Anchorwoman
712889	5306	Lindsey Brigman
785706	5306	Lisa 'One Night' Standing
840493	5306	Woman Reporter
16844	10920	Lydecker
36641	10920	Russ Jorden
42278	10920	Cpl. Dwayne Hicks
144260	10920	Doctor
204493	10920	Timmy Jorden
204719	10920	Bishop
213646	10920	Lt. Gorman
240277	10920	Pvt. Spunkmeyer
272557	10920	Power Loader Operator
305705	10920	Sgt. Apone
306790	10920	Van Leuwen
310030	10920	Al Simpson, Colony Officer
366173	10920	Private Hudson
378476	10920	Insurance Man
394516	10920	Carter Burke
405572	10920	Pvt. Drake
408215	10920	Pvt. Frost
452549	10920	Pvt. Wierzbowski
474375	10920	Pvt. Crowe
476429	10920	Alien Warrior
583693	10920	Cocooned Woman
583735	10920	ECA Representative
596318	10920	Ann Jorden
635153	10920	Pvt. Vasquez
651551	10920	Rebecca 'Newt' Jorden
653997	10920	Cpl. Mira Ferro
661430	10920	Amanda Ripley
748340	10920	Med Tech
785581	10920	Cpl. Dietrich
831289	10920	Ellen Ripley
69940	10934	Himself
69940	105938	Himself
128257	105938	Karl Kuhn
137802	105938	Adm. Günther Lütjens
185164	105938	Burkard von Müllenheim-Rechbe
204719	105938	Narrator
232844	105938	Young Karl Kuhn
259373	105938	Himself
285456	105938	Walter Weintz
428322	105938	Adjutant
432055	105938	Young Heinz Steeg
452552	105938	Himself
460992	105938	Young Walter Weintz
505504	105938	Himself
518333	105938	Heinz Steeg
933	127297	Himself
16963	127297	1st Officer Murdoch
24256	127297	2nd Officer Lightoller
24288	127297	Harold Bride
58357	127297	Himself
61439	127297	Himself
69940	127297	Himself
69977	127297	Himself
83459	127297	Himself
126295	127297	Captain Smith
152244	127297	Fred Fleet
188927	127297	Madeleine Astor
227895	127297	Himself
247406	127297	Poker player
271226	127297	Himself
288312	127297	Thomas Andrews
